name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Okeania	1458928	G	87	0	87	0.00096
Oscillatoria	1158	G	33	1	34	0.00037
Starria	241429	G	205	0	205	0.00226
Pycnacronema	2530217	G	33	0	33	0.00036
Wilmottia	1048851	G	23	0	23	0.00025
Ancylothrix	2023233	G	34	-2	32	0.00035
Potamolinea	1867035	G	17	-3	14	0.00015
Alborzia	2847113	G	105	0	105	0.00116
Neochroococcus	2816233	G	50	5	55	0.00061
Cyanobacterium	102234	G	17	0	17	0.00019
Cyanomargarita	1982356	G	667	-666	1	0.00001
Iphinoe	988814	G	651	0	651	0.00718
Aliinostoc	2035978	G	186	-2	184	0.00203
Purpureonostoc	2816323	G	21	1	22	0.00024
Cylindrospermum	56106	G	15	-15	0	0.00000
Calothrix	1186	G	105	5	110	0.00121
Mastigocoleus	996924	G	36	0	36	0.00040
Nodularia	159191	G	10	0	10	0.00011
Spirulina	1154	G	122	0	122	0.00134
Aliterella	1827277	G	43	0	43	0.00047
Chroococcidiopsis	54298	G	12	0	12	0.00013
Selenomonas	970	G	1862	-77	1785	0.01967
Paucilactobacillus	2767890	G	220	0	220	0.00242
Fructilactobacillus	2767881	G	116	0	116	0.00128
Weissella	46255	G	13	0	13	0.00014
Liquorilactobacillus	2767888	G	12	0	12	0.00013
Eremococcus	171412	G	48	0	48	0.00053
Aerococcus	1375	G	37	0	37	0.00041
Enterococcus	1350	G	17	2	19	0.00021
Anoxybacillus	150247	G	77	0	77	0.00085
Halobacillus	45667	G	19	0	19	0.00021
Salirhabdus	394505	G	17	26	43	0.00047
Virgibacillus	84406	G	16	0	16	0.00018
Bacillus	1386	G	10	-2	8	0.00009
Anaerobacillus	704093	G	10	3	13	0.00014
Cohnella	329857	G	35	0	35	0.00039
Paenibacillus	44249	G	30	-4	26	0.00029
Caryophanon	33976	G	13	0	13	0.00014
Melghirimyces	1236218	G	10	0	10	0.00011
Gemella	1378	G	11	0	11	0.00012
Senegalia	1924097	G	128	0	128	0.00141
Alkaliphilus	114627	G	22	0	22	0.00024
Hathewaya	1769729	G	16	0	16	0.00018
Clostridium	1485	G	15	-1	14	0.00015
Oxobacter	44261	G	10	0	10	0.00011
Sulfobacillus	28033	G	18	5	23	0.00025
Acidaminobacter	65402	G	10	0	10	0.00011
Tepidibacter	214904	G	34	0	34	0.00037
Lachnoclostridium	1506553	G	47	0	47	0.00052
Desulfocucumis	2026179	G	10	0	10	0.00011
Sporohalobacter	973	G	41	0	41	0.00045
Caldicellulosiruptor	44000	G	29	0	29	0.00032
Erysipelothrix	1647	G	82	-77	5	0.00006
Sedimentibacter	190972	G	17	0	17	0.00019
Microbacterium	33882	G	82	0	82	0.00090
Knoellia	136099	G	19	0	19	0.00021
Actinosynnema	40566	G	16	0	16	0.00018
Saccharopolyspora	1835	G	12	0	12	0.00013
Corynebacterium	1716	G	17	-1	16	0.00018
Actinomyces	1654	G	16	-6	10	0.00011
Deinococcus	1298	G	249	0	249	0.00274
Truepera	332248	G	17	0	17	0.00019
Mycoplasma	2093	G	44	-22	22	0.00024
Spiroplasma	2132	G	10	-8	2	0.00002
Armatimonas	1042315	G	33	0	33	0.00036
Arcicella	217140	G	1149	-22	1127	0.01242
Lacihabitans	1649462	G	425	0	425	0.00468
Emticicia	312278	G	170	-155	15	0.00017
Runella	105	G	113	-20	93	0.00103
Arcticibacterium	2173039	G	102	0	102	0.00112
Leadbetterella	319458	G	82	0	82	0.00090
Larkinella	332157	G	49	-49	0	0.00000
Flectobacillus	101	G	31	-1	30	0.00033
Spirosoma	107	G	16	-12	4	0.00004
Fluviimonas	1383890	G	15	0	15	0.00017
Siphonobacter	700450	G	12	-4	8	0.00009
Nibrella	1649473	G	11	-11	0	0.00000
Cytophaga	978	G	10	0	10	0.00011
Flexibacter	992	G	53	-1	52	0.00057
Adhaeribacter	299566	G	25	-2	23	0.00025
Hymenobacter	89966	G	17	0	17	0.00019
Garritya	1937995	G	20	0	20	0.00022
Persicobacter	59740	G	15	-15	0	0.00000
Roseivirga	290180	G	10	0	10	0.00011
Ferruginibacter	1004303	G	367	-7	360	0.00397
Flavisolibacter	398041	G	55	-42	13	0.00014
Terrimonas	296051	G	36	-7	29	0.00032
Chitinophaga	79328	G	19	-1	18	0.00020
Parasediminibacterium	1747780	G	15	0	15	0.00017
Flavitalea	1210116	G	13	-6	7	0.00008
Flavobacterium	237	G	312	0	312	0.00344
Fluviicola	332102	G	71	-2	69	0.00076
Chryseobacterium	59732	G	12	0	12	0.00013
Haliscomenobacter	2349	G	110	0	110	0.00121
Phaeodactylibacter	1564515	G	40	-11	29	0.00032
Portibacter	1227556	G	26	0	26	0.00029
Lewinella	70994	G	20	-7	13	0.00014
Rubidimonas	1147735	G	26	0	26	0.00029
Gemmatimonas	173479	G	38	-2	36	0.00040
Gemmata	113	G	26	0	26	0.00029
Limnoglobus	2731450	G	21	0	21	0.00023
Fimbriiglobus	1914234	G	12	0	12	0.00013
Pirellula	123	G	18	0	18	0.00020
Luteolibacter	518753	G	21	-2	19	0.00021
Geminisphaera	1148783	G	13	0	13	0.00014
